image_link,group_id,entity_name,entity_value,extracted_text
https://m.media-amazon.com/images/I/71nywfWZUwL.jpg,179080,voltage,48.0 volt,"9.10m/3.58% RG 36.8cm/ 14.48"" ASV ISAM crn 4 Sipe 17. BAN 41 —— Type Downtube Battery 13Ah: 2500m-A-h Battery Cell 17.5Ah: Sam-sung/L-G/Cell 3500mAh Send it randomly fay Charger Vv 48V 13Ah (2A) tH} Charger Output Current A8V 17.5Ah (4A) = USB port Vv 30A G) BMS a Battery Weight A1KG / 44KG"
https://m.media-amazon.com/images/I/61o2ntPNNgL.jpg,179080,voltage,36.0 volt,a ~ oH — = \ \— F /: aN \/4 7 FREEWHEELS 800W 36V GABEL MINDESTBREITE 135MM HINTERRAD MIT BRUSHLESS MOTOR
https://m.media-amazon.com/images/I/71Oo4M3ApxL.jpg,752266,voltage,"[100.0, 240.0] volt","4.72inch/12cm — re! E27 Socket ""| \ \Z | I 7.08inch/18cm | f \ AC 100-240V \ %6 o a Max Wattage 7A8inch/1 9cm BULBS ARE NOT INCLUDED ! \ fh) \@ = =a =f"
https://m.media-amazon.com/images/I/81JGAcnf39L.jpg,983323,voltage,12.0 volt,"y! (HH) WANK) ht I htt Wn Whit i, AY Whitt i) RHHKHI Witte meet HHH) U) iM! ry © |) a |p xi gt ZS it 4 I | fen i> \N .) jie. 5 ee  Y iV} lt \ Lin. Ys i) Te AN — -e /) ) \ ye yj “3 Y — a — — mn ai ” ed = mul! ——______} ————— Jy ‘« @ | — =—o= Le) = SS st + ® ———= CZ — \ =u , & A A A ——s Lj SS oi Sn 7s 4"
https://m.media-amazon.com/images/I/81xeFGugw6L.jpg,271537,voltage,12.0 volt,"Ty oe’ eS ee ey ys ” &. \ * & L J.) = I linn “apy =\ Voltage DCtay ra) Powerim: GOW Pressure O8Mpa Flowimax 5L/min iatmtht BOWE Sup Anlet n fers a @ vie = () 6) = (+) sia = © C) () = (-) @ () = () y\ ‘= ( C) Vy, = () () = SSS ss,"
https://m.media-amazon.com/images/I/71Ye12U8zRL.jpg,271537,voltage,12.0 volt,"20 a AN bake 7. wt} B 1} han. oy ‘te g rai = awn | }, ae 4 nS Pad Wh, es ye ws wll & a sal yi hil by yf os at “* * —— (d - - . - - }} NNnNnNnnnnnnN | \ NNnMNnnnnnnnh SS AH, eo Lie , ep tL wi \)"
https://m.media-amazon.com/images/I/61UjKZyijBL.jpg,271537,voltage,12.0 volt,& & ay Micro dla Voltage: deray Power(ma 60W Pressure Flow(max: 5L/min Must match the Lilet mu se filters
https://m.media-amazon.com/images/I/61v1IQDiIbL.jpg,271537,voltage,12.0 volt,LL us anal us Nh @ «
https://m.media-amazon.com/images/I/81Qf73SxLaL.jpg,752266,voltage,"[85.0, 265.0] volt","‘ p++ nt IS TT ~ ti = +4 pF a ——e i » a wet ae oe *) at aie Cod Hi 8 a, ORge et te we ae - LED 3 LEDs oe | — ute foes on a 1 oe tA *@: 300 Lumens =| ry ie ii —) | Ika) 800KG Belastung Su ie a a aa 2 isa \2 ae fe ( @ ) — af >)"
https://m.media-amazon.com/images/I/81hGUpAFNJL.jpg,922709,voltage,7.0 volt,"WI V8 v10 Wn W15 ==> = Viv Vv VY wv Compatible with VE /W7 /W10/ V11 /W15, Not for Any DC Senes —— ——s VG/ Ball Series \ hi Ly “a | } el = eve ym eS a\\ L | \ LLALA» X =~ q ma i {HII Il y) i ))"
https://m.media-amazon.com/images/I/71iSbwHDcdL.jpg,648011,voltage,"[175.0, 265.0] volt","31mm/1.2inch PRODUCT INFORMATION ———_ —— — == 78/8) Bh (@ Brightness 1350 Lumens ya @g,/e8 8 a,/6 8) ($ AV Voltage 175-265V va @,e8 8 6, 6 8) (© Beam Angle 360° A | a8 (0 4! No Flicker a <B) Non Dimmable SANGLOR’ E27 12W € RoHS & _—___ Aas ___. os i he ot || SS SU & Ss Ves —SSa— we —— SS 360° — Angle Super Bright 2835SMD (84 Pieces LED Chips)"
https://m.media-amazon.com/images/I/818ZG7g9hHL.jpg,746096,voltage,240.0 volt,"Product Information Sheet COMMISSION DELEGATED REGULATION (EU) 2019/2013 with regard to energy labelling of electronic displays Parameter Parameter or value and Unit precision Supplier's name or trademark. SONY Supplier's address. Sony - Public contact, Da Vincilaan 7-D1, B-1935 Za- ventem, BE Model identifier SDM-F27M30 Energy Efficiency Class for Standard Dynamic Range E (SDR) On mode power demand in SDR 21,6 Energy Efficiency Class for High Dynamic Range G (HDR) On mode power demand in HDR, if implemented 31,1 Off mode, power demand, if applicable 0,3 Standby mode power demand, if applicable 0,5 Networked standby mode power demand, if applic- na able 10, Electronic display category Monitor 11 Size ratio 16 9 12 Screen resolution 1920 x 1080 pixels 13 Screen diagonal 68,6 cm 14 Screen diagonal 27 inches 15 Visible screen area 20,1 dm? 16, LED LCD Panel technology used 17 Automatic Brightness Control (ABC) available No 18 Voice recognition sensor available No 19 Room presence sensor available No 20 Image refresh frequency rate (default) 60 Hz 21 Minimum guaranteed availability of software and 7 Years firmware updates (from the date of end of the placement on the market) 22 Minimum guaranteed availability of spare parts Years (from the date of end of the placement on the mar- ket) 23 Years Minimum guaranteed product support Minimum duration of the general guarantee offered Years by the supplier 24 External Power supply type 25 External power supply (non standardized and included in the product box) i] ACDP-120D01 T fi Input voltage 240 V iii Vv Output voltage 19,5 26 External standardised power supply (or suitable one if not included in the product box) I - fi Required output voltage Vv iii = A Required delivered current (minimum) iv Required current frequency - Hz"
